Opportunity_Rec_ID__c,AccountId,Contact__c,Site_Address_Billing_Address__c,Site_Address_Shipping_Address__c,Name,Probability,CreatedDate,CloseDate,Stage_RecID,StageName,Account_Executive__c,AE_Member_RecID,Strategic_Consultant__c,SC_Member_RecID,OwnerId,Location_RecID,Location__c,Department__c,Solution_Engineer_1__c,Solution_Engineer_2__c,Non_Recurring__c,Amount,Full_Agreement_Term__c,MRR_Delta__c,Sell_Quote__c,Sell_Quote_EXP_Date__c,pricebook2id,product2id
815,19419,1819,1158,1158,Noble Energy CSB Buildout,0,3/10/2014,5/21/2014,16,Order Porter Approved,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
816,19419,1819,1158,1158,Noble Energy-Malabo Cisco Switches ECCN/HTS,0,3/10/2014,5/31/2014,14,Negotiating,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
821,59180,45655,40924,40924,MRC - Kingspan Enterprise Cloud Compute IPT,0,3/10/2014,7/28/2014,16,Order Porter Approved,Scott Turner,205,,0,205,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
822,59180,45655,40924,40924,MRC - Kingspan Enterprise MPLS DIA ,0,3/10/2014,5/30/2014,16,Order Porter Approved,Scott Turner,205,,0,205,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
826,19419,1819,1158,1158,Noble Energy-Houston-Cisco 3702i 10Pk - ECCN/HTS,0,3/10/2014,4/30/2014,14,Negotiating,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
857,19419,1819,1158,1158,Noble Energy- Cyrus One West Datacenter,0,3/13/2014,5/8/2014,16,Order Porter Approved,Elmer Mosbey,173,Sam Proffitt,231,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
873,19420,1836,1159,1159,Loomis CCX Upgrade,20,3/14/2014,3/19/2014,3,Closing,Richard Remels,230,,0,230,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
874,19420,1836,1159,1159,Loomis IPT Parts List Only - NO Value,20,3/14/2014,3/14/2014,3,Closing,Richard Remels,230,,0,230,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
878,19419,1819,1158,1158,Noble Energy-Houston-NEC Project,0,3/14/2014,12/31/2014,14,Negotiating,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
883,19419,1819,1158,1158,Noble Energy SFP - ECCN/HTS,0,3/18/2014,5/31/2014,14,Negotiating,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
